Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,1894,2011,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,3340,3508,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,4067,4216,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,4033,4112,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,14513,15087,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,27,27,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,213,216,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,932,939,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,3067,3089,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,8837,8889,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,16944,17033,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,22087,22233,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,26316,26607,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,1,1,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,78424,79034,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,6,7,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,52,55,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,201,210,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,931,993,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,3568,3813,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,8728,9287,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,13408,14136,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,15709,16482,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,1,1,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,42604,44984,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrest,I46,0-24,89,89,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrest,I46,25-34,367,367,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrest,I46,35-44,973,973,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrest,I46,45-54,2805,2805,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrest,I46,55-64,6410,6412,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrest,I46,65-74,10493,10493,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrest,I46,75-84,11805,11807,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrest,I46,85+,11922,11924,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrest,I46,Not stated,1,1,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrest,I46,All Ages,44865,44871,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,17,17,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,51,51,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,146,148,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,538,556,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,1823,1870,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,4811,4933,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,8458,8639,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,11529,11732,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,27373,27946,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Heart failure,I50,0-24,11,11,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Heart failure,I50,25-34,60,60,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Heart failure,I50,35-44,189,189,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Heart failure,I50,45-54,632,633,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Heart failure,I50,55-64,2118,2119,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Heart failure,I50,65-74,4865,4869,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Heart failure,I50,75-84,8284,8287,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Heart failure,I50,85+,12761,12767,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Heart failure,I50,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Heart failure,I50,All Ages,28920,28935,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,19,19,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,53,57,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,169,182,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,617,647,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,1974,2039,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,4064,4174,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,5590,5705,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,6506,6655,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,1,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,18993,19479,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,73,85,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,191,217,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,437,503,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,1126,1224,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,2736,2949,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,4921,5366,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,6164,6680,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,6954,7526,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,22602,24550,
01/31/2021,01/04/2020,01/30/2021,US,Sepsis,Sepsis,A40-A41,0-24,71,72,
01/31/2021,01/04/2020,01/30/2021,US,Sepsis,Sepsis,A40-A41,25-34,279,279,
01/31/2021,01/04/2020,01/30/2021,US,Sepsis,Sepsis,A40-A41,35-44,775,775,
01/31/2021,01/04/2020,01/30/2021,US,Sepsis,Sepsis,A40-A41,45-54,2386,2387,
01/31/2021,01/04/2020,01/30/2021,US,Sepsis,Sepsis,A40-A41,55-64,5841,5844,
01/31/2021,01/04/2020,01/30/2021,US,Sepsis,Sepsis,A40-A41,65-74,9956,9959,
01/31/2021,01/04/2020,01/30/2021,US,Sepsis,Sepsis,A40-A41,75-84,9572,9575,
01/31/2021,01/04/2020,01/30/2021,US,Sepsis,Sepsis,A40-A41,85+,6621,6622,
01/31/2021,01/04/2020,01/30/2021,US,Sepsis,Sepsis,A40-A41,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Sepsis,Sepsis,A40-A41,All Ages,35501,35513,
01/31/2021,01/04/2020,01/30/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,42,49,
01/31/2021,01/04/2020,01/30/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,64,72,
01/31/2021,01/04/2020,01/30/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,199,219,
01/31/2021,01/04/2020,01/30/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,577,673,
01/31/2021,01/04/2020,01/30/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,2172,2487,
01/31/2021,01/04/2020,01/30/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,4542,5102,
01/31/2021,01/04/2020,01/30/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,5336,6001,
01/31/2021,01/04/2020,01/30/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,4378,4831,
01/31/2021,01/04/2020,01/30/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,17310,19434,
01/31/2021,01/04/2020,01/30/2021,US,Diabetes,Diabetes,E10-E14,0-24,75,75,
01/31/2021,01/04/2020,01/30/2021,US,Diabetes,Diabetes,E10-E14,25-34,331,333,
01/31/2021,01/04/2020,01/30/2021,US,Diabetes,Diabetes,E10-E14,35-44,1233,1242,
01/31/2021,01/04/2020,01/30/2021,US,Diabetes,Diabetes,E10-E14,45-54,3790,3810,
01/31/2021,01/04/2020,01/30/2021,US,Diabetes,Diabetes,E10-E14,55-64,9647,9706,
01/31/2021,01/04/2020,01/30/2021,US,Diabetes,Diabetes,E10-E14,65-74,16713,16800,
01/31/2021,01/04/2020,01/30/2021,US,Diabetes,Diabetes,E10-E14,75-84,17397,17475,
01/31/2021,01/04/2020,01/30/2021,US,Diabetes,Diabetes,E10-E14,85+,12698,12739,
01/31/2021,01/04/2020,01/30/2021,US,Diabetes,Diabetes,E10-E14,Not stated,1,1,
01/31/2021,01/04/2020,01/30/2021,US,Diabetes,Diabetes,E10-E14,All Ages,61885,62181,
01/31/2021,01/04/2020,01/30/2021,US,Obesity,Obesity,E65-E68,0-24,148,148,
01/31/2021,01/04/2020,01/30/2021,US,Obesity,Obesity,E65-E68,25-34,591,592,
01/31/2021,01/04/2020,01/30/2021,US,Obesity,Obesity,E65-E68,35-44,1293,1298,
01/31/2021,01/04/2020,01/30/2021,US,Obesity,Obesity,E65-E68,45-54,2386,2388,
01/31/2021,01/04/2020,01/30/2021,US,Obesity,Obesity,E65-E68,55-64,3630,3639,
01/31/2021,01/04/2020,01/30/2021,US,Obesity,Obesity,E65-E68,65-74,3823,3834,
01/31/2021,01/04/2020,01/30/2021,US,Obesity,Obesity,E65-E68,75-84,2153,2157,
01/31/2021,01/04/2020,01/30/2021,US,Obesity,Obesity,E65-E68,85+,577,577,
01/31/2021,01/04/2020,01/30/2021,US,Obesity,Obesity,E65-E68,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Obesity,Obesity,E65-E68,All Ages,14601,14633,
01/31/2021,01/04/2020,01/30/2021,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Alzheimer disease,Alzheimer disease,G30,35-44,3,3,
01/31/2021,01/04/2020,01/30/2021,US,Alzheimer disease,Alzheimer disease,G30,45-54,11,11,
01/31/2021,01/04/2020,01/30/2021,US,Alzheimer disease,Alzheimer disease,G30,55-64,123,123,
01/31/2021,01/04/2020,01/30/2021,US,Alzheimer disease,Alzheimer disease,G30,65-74,989,990,
01/31/2021,01/04/2020,01/30/2021,US,Alzheimer disease,Alzheimer disease,G30,75-84,4405,4409,
01/31/2021,01/04/2020,01/30/2021,US,Alzheimer disease,Alzheimer disease,G30,85+,9833,9852,
01/31/2021,01/04/2020,01/30/2021,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Alzheimer disease,Alzheimer disease,G30,All Ages,15364,15388,
01/31/2021,01/04/2020,01/30/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,1,1,
01/31/2021,01/04/2020,01/30/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,3,3,
01/31/2021,01/04/2020,01/30/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,41,41,
01/31/2021,01/04/2020,01/30/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,549,549,
01/31/2021,01/04/2020,01/30/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,3644,3653,
01/31/2021,01/04/2020,01/30/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,12516,12531,
01/31/2021,01/04/2020,01/30/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,25810,25833,
01/31/2021,01/04/2020,01/30/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,42564,42611,
01/31/2021,01/04/2020,01/30/2021,US,Renal failure,Renal failure,N17-N19,0-24,40,41,
01/31/2021,01/04/2020,01/30/2021,US,Renal failure,Renal failure,N17-N19,25-34,221,231,
01/31/2021,01/04/2020,01/30/2021,US,Renal failure,Renal failure,N17-N19,35-44,648,662,
01/31/2021,01/04/2020,01/30/2021,US,Renal failure,Renal failure,N17-N19,45-54,1928,1979,
01/31/2021,01/04/2020,01/30/2021,US,Renal failure,Renal failure,N17-N19,55-64,4822,4968,
01/31/2021,01/04/2020,01/30/2021,US,Renal failure,Renal failure,N17-N19,65-74,8716,9055,
01/31/2021,01/04/2020,01/30/2021,US,Renal failure,Renal failure,N17-N19,75-84,9780,10243,
01/31/2021,01/04/2020,01/30/2021,US,Renal failure,Renal failure,N17-N19,85+,8687,9092,
01/31/2021,01/04/2020,01/30/2021,US,Renal failure,Renal failure,N17-N19,Not stated,1,2,
01/31/2021,01/04/2020,01/30/2021,US,Renal failure,Renal failure,N17-N19,All Ages,34843,36273,
01/31/2021,01/04/2020,01/30/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,55,139,
01/31/2021,01/04/2020,01/30/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,127,318,
01/31/2021,01/04/2020,01/30/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,197,463,
01/31/2021,01/04/2020,01/30/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,359,758,
01/31/2021,01/04/2020,01/30/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,830,1627,
01/31/2021,01/04/2020,01/30/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1432,2752,
01/31/2021,01/04/2020,01/30/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1815,3540,
01/31/2021,01/04/2020,01/30/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,2310,4772,
01/31/2021,01/04/2020,01/30/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,7125,14369,
01/31/2021,01/04/2020,01/30/2021,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,340,594,
01/31/2021,01/04/2020,01/30/2021,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,994,1593,
01/31/2021,01/04/2020,01/30/2021,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,2370,3746,
